"Refs","Value","Footprint","Manufacturer","MPN","Qty","DNP"
"C1","10uF 10V","Capacitor_SMD:C_0805_2012Metric","Generic","","1",""
"C2","1uF 10V","Capacitor_SMD:C_0402_1005Metric","Generic","","1",""
"C3","2.2uF 10V","Capacitor_SMD:C_0402_1005Metric","Generic","","1",""
"C4-C7","100nF","Capacitor_SMD:C_0402_1005Metric","Generic","","4",""
"J1","DXL_IN","Connector_JST:JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal","JST","S3B-PH-K","1",""
"J2","DXL_OUT","Connector_JST:JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal","JST","S3B-PH-K","1",""
"J3","SWD","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","Generic","PH1x04-2.54mm","1",""
"R1","10k","Resistor_SMD:R_0402_1005Metric","Generic","","1",""
"U1","MCP1703A-3302E/TT","Package_TO_SOT_SMD:SOT-23","Microchip","MCP1703A-3302E/TT","1",""
"U2","STM32G031F8Px","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","STMicroelectronics","STM32G031F8Px","1",""
"U3","LSM6DSV16X","Package_LGA:LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y","STMicroelectronics","LSM6DSV16X","1",""
"U4","SN74LVC1G125DBV","Package_TO_SOT_SMD:SOT-23-5","Texas Instruments","SN74LVC1G125DBV","1",""
