Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF 10V","C_0805_2012Metric",12.000000,-20.000000,0.000000,top
"C2","1uF 10V","C_0402_1005Metric",17.000000,-24.000000,90.000000,top
"C3","2.2uF 10V","C_0402_1005Metric",11.000000,-24.000000,90.000000,top
"C4","100nF","C_0402_1005Metric",19.000000,-12.000000,0.000000,top
"C5","100nF","C_0402_1005Metric",22.000000,-12.000000,0.000000,top
"C6","100nF","C_0402_1005Metric",25.000000,-12.000000,0.000000,top
"C7","100nF","C_0402_1005Metric",33.000000,-13.000000,0.000000,top
"J1","DXL_IN","JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal",2.000000,-7.000000,0.000000,top
"J2","DXL_OUT","JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal",2.000000,-22.000000,0.000000,top
"J3","SWD","PinHeader_1x04_P2.54mm_Vertical",37.000000,-5.000000,0.000000,top
"MH1","MountingHole_2.2mm_M2","MountingHole_2.2mm_M2",2.500000,-2.500000,0.000000,top
"MH2","MountingHole_2.2mm_M2","MountingHole_2.2mm_M2",37.500000,-2.500000,0.000000,top
"MH3","MountingHole_2.2mm_M2","MountingHole_2.2mm_M2",2.500000,-27.500000,0.000000,top
"MH4","MountingHole_2.2mm_M2","MountingHole_2.2mm_M2",37.500000,-27.500000,0.000000,top
"R1","10k","R_0402_1005Metric",22.000000,-22.000000,0.000000,top
"U1","MCP1703A-3302E/TT","SOT-23",14.000000,-24.000000,0.000000,top
"U2","STM32G031F8Px","TSSOP-20_4.4x6.5mm_P0.65mm",22.000000,-17.000000,0.000000,top
"U3","LSM6DSV16X","LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y",33.000000,-17.000000,0.000000,top
"U4","SN74LVC1G125DBV","SOT-23-5",14.000000,-11.000000,0.000000,top
